item_name,info_json
Air Fryer Recipes,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""Global"",""Ingredients"": [""chicken breast"", ""olive oil"", ""salt"", ""pepper"", ""garlic powder""],""Preparation Time"": 20}"
Allrecipes Allstar Recipes,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""chicken breast"", ""onion"", ""garlic"", ""mushroom"", ""heavy cream"", ""dried thyme"", ""salt"", ""black pepper""],""Preparation Time"": 30}"
Angel Food Cakes,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""egg whites"", ""sugar"", ""flour"", ""cream of tartar"", ""salt"", ""vanilla extract""],""Preparation Time"": 40}"
Antipasti,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Italian"",""Ingredients"": [""cured meats"", ""cheese"", ""olives"", ""artichoke hearts"", ""sun-dried tomatoes""],""Preparation Time"": 20}"
Appetizers and Snacks,"{""Dietary Category"": ""veg"", ""Specific Cuisine"": ""Italian"", ""Ingredients"": [""Tomatoes"", ""Mozzarella"", ""Basil"", ""Bread""], ""Preparation Time"": 20}"
Apple Pie,"{""Dietary Category"": ""Non-Veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""Apples"", ""Sugar"", ""Flour"", ""Butter"", ""Eggs"", ""Cinnamon"", ""Nutmeg""],""Preparation Time"": 40}"
Applesauce,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""apples"", ""water"", ""sugar"", ""cinnamon"", ""lemon juice""],""Preparation Time"": 20}"
Artichoke Dips,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""artichoke hearts"", ""mayonnaise"", ""Parmesan cheese"", ""garlic"", ""lemon juice"", ""salt"", ""pepper""],""Preparation Time"": 20}"
Bagels,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""Jewish"",""Ingredients"": [""yeast"", ""flour"", ""water"", ""salt"", ""sugar"", ""egg""],""Preparation Time"": 40}"
Baked Beans,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""British"",""Ingredients"": [""beans"", ""tomatoes"", ""onions"", ""garlic"", ""spices""],""Preparation Time"": 30}"
Banana Breads,"{""Dietary Category"": ""veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""bananas"", ""flour"", ""sugar"", ""eggs"", ""baking powder"", ""butter"", ""salt"", ""vanilla extract""],""Preparation Time"": 40}"
Bar Cookies,"{""Dietary Category"": ""non-veg"",""Specific Cuisine"": ""American"",""Ingredients"": [""flour"", ""butter"", ""sugar"", ""eggs"", ""vanilla"", ""chocolate chips""],""Preparation Time"": 25}"
